CRI_LATITUDE,CRI_LONGITUDE,CRI_HORARIO,CRI_ENDERECO
-3.72927166419176,-38.5139894485473,8,"R. Mombaça"
-3.72277302658427,-38.5338592529297,2,"R. Sen. Alencar"
-3.73362904339613,-38.517894744873,23,"R. Fiuza de Pontes"
-3.79176104107407,-38.4840989112854,20,"R. Angra dos Reis"
-3.74762175852194,-38.5120689868927,22,"R. Joaquim Sá"
-3.74127314040469,-38.5283660888672,1,"R. Carlos Gomes"
-3.74328586074425,-38.5855293273926,21,"R. Pedro Melo"
-3.75510514633626,-38.4481143951416,16,"R. Cel. Francisco Montenegro"
-3.73456047054448,-38.4929233789444,1,"R. Sen. Virgílio Távora"
-3.72506414976899,-38.5048162937164,14,"Av. Ruy Barbosa"
-3.74568398957733,-38.5125517845154,20,"R. Cel. Alves Teixeira"
-3.78947009303042,-38.4810841083527,10,"R. Mário Lanza"
-3.79985424814842,-38.5493516921997,23,"Travessa Aracapé"
-3.73223725386194,-38.546884059906,14,"Av. Bezerra de Menezes"
-3.75091381470407,-38.4975153207779,21,"Av. Des. Colombo Sousa"
-3.76108431639614,-38.5570442676544,13,"R. Oscar Bezerra"
-3.74401386483439,-38.5003638267517,20,"Av. Des. Moreira"
-3.81338557812851,-38.4949028491974,13,"Av. Des. Moreira"
-3.77348681492628,-38.4821945428848,21,"Av. Washington Soares"
-3.79507969336,-38.4864592552185,19,"R. Hermínio de Castro"
-3.738361111305,-38.5598230361938,19,"R. Pedro de Queirós"
-3.72285867615638,-38.4820175170898,7,"Travessa Caetano"
-3.72906824792705,-38.4931218624115,16,"R. Silva Jatahy"
-3.7442386895046,-38.557687997818,20,"R. Dom José Lourenço"
-3.73585590206157,-38.4793567657471,13,"R. Valdetário Mota"
-3.75124034317803,-38.5249274969101,23,"R. Juvenal de Carvalho"
-3.75930181072043,-38.5519051551819,12,"R. Vasco da Gama"
-3.77484642204674,-38.5924601554871,13,"Travessa Moreira Leite"
-3.83173389247587,-38.589563369751,12,"R. Hercules de Miranda"
-3.79600034947728,-38.5013294219971,13,"Av. Des. Gonzaga"
-3.75943027971982,-38.5618185997009,23,"R. Mil Cento e Trinta e Nove"
-3.77431114390686,-38.572268486023,14,"R. Guilherme Perdigão"
-3.74913128826126,-38.5589218139649,13,"R. Prof. Lino Encarnação"
-3.77206297211746,-38.5623121261597,14,"R. Caio Prado"
-3.73247278763048,-38.5722470283508,18,"R. Frei Odílon"
-3.80160990739147,-38.5366594791412,15,"R. Prof. Odílio Filho"
-3.74908846475848,-38.4898066520691,20,"Av. Padre Antônio Thomás"
-3.72536392245477,-38.5449314117432,8,"Travessa Joel Monteiro"
-3.77600262170276,-38.5997772216797,11,"R. Antônio Nelis"
-3.75870228847302,-38.5258769989014,4,"R. Prof. Guilhon"
-3.75870228847302,-38.5258769989014,4,"R. Prof. Guilhon"
-3.83500957119398,-38.4854292869568,0,"R. H"
-3.73985995102043,-38.5426998138428,6,"R. Caio Carlos"
-3.73840393533242,-38.5655307769775,15,"R. Moreira de Sousa"
-3.83280437709735,-38.5102772712708,16,"R. Francisco Alves Ribeiro"
-3.73692650517781,-38.5565400123596,18,"R. Azevedo Bolão"
-3.75551196672631,-38.5322284698486,11,"R. Gen. Silva Júnior"
-3.73350057060846,-38.5211777687073,16,"R. Dona Leopoldina"
-3.7170987238818,-38.5637497901917,18,"R. Eng. João Nogueira"
-3.72718396871158,-38.4745931625366,23,"R. Pesc. Chico Binda"
-3.8336018872694,-38.4840023517609,19,"R. I"
-3.73108099626405,-38.5224437713623,2,"Av. Dom Manoel"
-3.73519212747349,-38.4725332260132,16,"R. Sólon Onofre"
-3.80477864917088,-38.4872853755951,21,"Av. Eng. Agro. José G Duque"
-3.81302160526462,-38.5613036155701,1,"R. Friézio Barroso"
-3.75577961161637,-38.4874248504639,19,"Av. Washington Soares"
-3.76486878332507,-38.4776401519775,10,"R. Salinas"
-3.75557620150741,-38.5209202766418,12,"R. João Lobo Fiho"
-3.74627816780384,-38.525447845459,21,"R. Juvenal de Carvalho"
-3.79916911186472,-38.5707664489746,20,"Av. Godofredo Maciel"
-3.7406950177502,-38.5507464408874,20,"R. Frei Marcelino"
-3.74129455234753,-38.5383224487305,17,"Av. João Pessoa"
-3.73431423127951,-38.5045051574707,16,"R. José Vilar"
-3.73632696759366,-38.5452318191528,19,"R. Carvalho Mota"
-3.73581307790975,-38.5449528694153,18,"R. Padre Guerra"
-3.74225808923378,-38.5358762741089,15,"R. Padre Miguelino"
-3.74208679386478,-38.536069393158,15,"R. Padre Miguelino"
-3.72559945806481,-38.5303831100464,11,"R. São Paulo"
-3.72352246005791,-38.5951852798462,23,"R. Antônio Arruda"
-3.74337150831567,-38.5390841960907,19,"R. Paulino Nogueira"
-3.71810511230907,-38.5627841949463,23,"R. Assis Bezerra"
-3.75063546246602,-38.5213226079941,1,"R. Bonfim Sobrinho"
-3.76641040021709,-38.5688781738281,20,"R. Goiás"
-3.79575412758856,-38.4784662723541,16,"R. Tab. Joaquim Coelho"
-3.75805994275061,-38.5449743270874,20,"R. Diacuí"
-3.75997627275606,-38.548675775528,21,"R. Euzébio de Queirós"
-3.75583314058453,-38.48313331604,20,"Av. Sebastião de Abreu"
-3.74546987119863,-38.4958148002624,2,"R. Beni Carvalho"
-3.74940964097829,-38.4896993637085,20,"Av. Eng. Santana Júnior"
-3.7501483458361,-38.5311126708984,11,"R. Mário Mamede"
-3.74362845097971,-38.5004281997681,13,"R. Gen. Tertuliano Potiguara"
-3.74080207752981,-38.537335395813,9,"R. Confúcio Pamplona"
-3.73416434647572,-38.4866094589233,8,"R. Pereira Leite"
-3.71305174606176,-38.5488367080689,4,"Travessa Deusimar"
-3.72782633707956,-38.5492014884949,10,"R. Henrique Autran"
-3.75296398326433,-38.5296964645386,17,"R. Min. Joaquim Bastos"
-3.83310411255126,-38.4770393371582,20,"R. Dr. Pergentino Maia"
-3.82513967768086,-38.4877467155456,21,"R. Capanema"
-3.73365045552558,-38.5728693008423,23,"R. Ten. Marques"
-3.73420717070799,-38.5659599304199,9,"R. Tab. Fabião"
-3.79784165876692,-38.5502958297729,0,"R. José Pedra"
-3.78627988424648,-38.5993480682373,2,"R. Waldemar Paes Bragança"
-3.71146721000882,-38.4663105010986,16,"R. Murilo Borges"
-3.72943225594645,-38.5916233062744,22,"R. João Tinoco"
-3.79662125653704,-38.5164785385132,9,"R. Guadalajara"
-3.7983555118212,-38.5888338088989,17,"Travessa João Ramalho"
-3.75116540222758,-38.5208129882813,5,"Av. Visc. do Rio Branco"
-3.78679374417397,-38.5092687606812,15,"Av. José Leon"
-3.75065152125139,-38.5079169273377,12,"R. Tibúrcio Cavalcante"
-3.71303033343135,-38.5834050178528,17,"R. Belém de Figueiredo"
-3.7481677589412,-38.5057067871094,19,"R. Joaquim Nabuco"
-3.7272482055695,-38.4905362129211,12,"R. Júlio de Carvalho"
-3.83473124603913,-38.4992265701294,14,"R. Angélica Gurgel"
-3.71598527151773,-38.5761308670044,11,"R. Graça Aranha"
-3.78422444148697,-38.5046982765198,0,"R. Reino Unido"
-3.78137678877198,-38.5485148429871,18,"R. Guerra Junqueiro"
-3.73461400081033,-38.5112428665161,19,"R. Pinto Madeira"
-3.73187324700452,-38.5030460357666,19,"R. José Vilar"
-3.7751889998831,-38.5697793960571,20,"R. Santa Júlia"
-3.74075925361954,-38.4938192367554,21,"R. Prof. Dias da Rocha"
-3.71347999856093,-38.5661745071411,15,"R. Eng. Lima Verde"
-3.76467608102161,-38.5527849197388,21,"R. Euzébio de Queirós"
-3.79587188589192,-38.4728980064392,23,"R. Tab. Joaquim Coelho"
-3.83323257057077,-38.5719037055969,3,"R. Chico Mendes do Pantanal"
-3.83237618340952,-38.5703372955322,4,"R. Amaral Peixoto"
-3.77011455186206,-38.590292930603,13,"R. Prof. Heribaldo Costa"
-3.76232082720091,-38.5472917556763,15,"R. Alberto Magno"
-3.84438693494073,-38.5271430015564,15,"R. Iracema"
-3.77488924428367,-38.5636425018311,7,"R. Gomes Brasil"
-3.80032527902783,-38.6034250259399,16,"R. Waldemar Paes Bragança"
-3.74328586074425,-38.5592222213745,17,"R. Pedro de Queirós"
-3.783646347332,-38.5218858718872,20,"R. Nova Esperança"
-3.8237266250486,-38.5877180099487,22,"R. B"
-3.72487143870278,-38.485643863678,22,"R. da Paz"
-3.83415318581256,-38.501136302948,23,"R. Santa Efigênia"
-3.72198076764714,-38.584520816803,2,"R. Carnaubal"
-3.78336800556423,-38.5677409172058,1,"Travessa Anne Débora"
-3.8310059621681,-38.5693073272705,6,"R. Planaltina"
-3.73726909789906,-38.474485874176,10,"R. Sólon Onofre"
-3.72945366817819,-38.5417556762695,0,"R. Cariré"
-3.74632634439912,-38.5418200492859,15,"R. Padre Wassen"
-3.74925975875706,-38.5071015357971,15,"R. Tibúrcio Cavalcante"
-3.76820894980651,-38.5345458984375,17,"R. Lineu Juca"
-3.75082281494369,-38.5237741470337,18,"Av. Aguanambi"
-3.83122005938174,-38.4928965568543,15,"R. Dr. Pergentino Maia"
-3.74848893549918,-38.596601486206,23,"R. Daniel de Castro"
-3.74647622712302,-38.5645008087158,3,"R. Chile"
-3.81574069293406,-38.494827747345,18,"R. Elisiário Mendes"
-3.74292185847222,-38.4826827049255,6,"R. Júlio Azevedo"
-3.72688419664596,-38.57102394104,23,"R. Padre Alzir Sampaio"
-3.78724337136031,-38.5499310493469,7,"R. Américo Vespúcio"
-3.70812682739688,-38.5567545890808,10,"R. São Raimundo"
-3.76514713102141,-38.5495018959045,11,"Av. Prof. Gomes de Matos"
-3.71380118779897,-38.5752081871033,0,"R. Graça Aranha"
-3.7539060956628,-38.5682773590088,19,"R. Uruguaiana"
-3.79874090141113,-38.6025452613831,19,"R. Maria Júlia Rocha"
-3.76673157005927,-38.5388374328613,19,"R. Alm. Rufino"
-3.69448680086032,-38.5855293273926,23,"Travessa Carlos Chagas"
-3.72921813360035,-38.5595870018005,6,"R. Haroldo Torres"
-3.76542547862877,-38.5476136207581,12,"R. Queirós Ribeiro"
-3.70607120105386,-38.5696935653686,4,"Vila Paulino Mendonça"
-3.83477406529962,-38.5013508796692,9,"R. Guarujá"
-3.74242938456927,-38.4953856468201,11,"R. Sen. Virgílio Távora"
-3.72106003339244,-38.5712814331055,2,"R. Sílvio Romero"
-3.79754191101066,-38.4918880462646,11,"R. Botelho Magalhães"
-3.78807839265809,-38.5507464408874,11,"R. Ofir"
-3.77510335543669,-38.5712170600891,20,"R. Iguape"
-3.74517010538043,-38.5923743247986,11,"R. Ten. Queirós"
-3.71362988688655,-38.5507464408874,13,"R. Pedro Artur"
-3.72005364833893,-38.5218214988709,17,"R. Gérson Gradvol"
-3.82085769284317,-38.5088610649109,18,"Av. Cap. Waldemar Paula Lima"
